Region,Date,Unemployment_Rate
Puducherry,2020-02-29,1.78
Puducherry,2020-03-31,0.62
Puducherry,2020-04-30,76.74
Puducherry,2020-05-31,75.0
Puducherry,2020-06-30,4.55
Punjab,2019-05-31,13.49
Punjab,2019-06-30,13.17
Punjab,2019-07-31,11.61
Punjab,2019-08-31,11.99
Punjab,2019-09-30,15.69
Punjab,2019-10-31,13.75
Punjab,2019-11-30,10.39
Punjab,2019-12-31,11.97
Punjab,2020-01-31,13.68
Punjab,2020-02-29,11.99
Punjab,2020-03-31,9.97
Punjab,2020-04-30,1.13
Punjab,2020-05-31,20.54
Punjab,2020-06-30,10.55
Rajasthan,2019-05-31,13.62
Rajasthan,2019-06-30,14.36
Rajasthan,2019-07-31,11.67
Rajasthan,2019-08-31,14.71
Rajasthan,2019-09-30,12.63
Rajasthan,2019-10-31,13.02
Rajasthan,2019-11-30,14.3
Rajasthan,2019-12-31,18.04
Rajasthan,2020-01-31,18.82
Rajasthan,2020-02-29,17.02
Rajasthan,2020-03-31,18.54
Rajasthan,2020-04-30,35.53
Rajasthan,2020-05-31,25.35
Rajasthan,2020-06-30,13.04
Sikkim,2019-05-31,8.2
Sikkim,2019-06-30,7.76
Sikkim,2019-07-31,2.56
Sikkim,2019-08-31,4.82
Sikkim,2019-09-30,4.81
Sikkim,2019-10-31,9.68
Sikkim,2019-11-30,4.04
Sikkim,2019-12-31,7.37
Sikkim,2020-03-31,20.45
Sikkim,2020-04-30,5.77
Sikkim,2020-05-31,19.75
Sikkim,2020-06-30,2.63
Tamil Nadu,2019-05-31,0.89
Tamil Nadu,2019-06-30,1.56
Tamil Nadu,2019-07-31,3.18
Tamil Nadu,2019-08-31,9.53
Tamil Nadu,2019-09-30,1.86
Tamil Nadu,2019-10-31,1.13
Tamil Nadu,2019-11-30,2.65
Tamil Nadu,2019-12-31,8.05
Tamil Nadu,2020-01-31,2.05
Tamil Nadu,2020-02-29,3.31
Tamil Nadu,2020-03-31,6.46
Tamil Nadu,2020-04-30,45.55
Tamil Nadu,2020-05-31,25.95
Tamil Nadu,2020-06-30,24.93
Telangana,2019-05-31,1.52
Telangana,2019-06-30,1.43
Telangana,2019-07-31,3.73
Telangana,2019-08-31,4.19
Telangana,2019-09-30,6.19
Telangana,2019-10-31,6.74
Telangana,2019-11-30,5.23
Telangana,2019-12-31,4.22
Telangana,2020-01-31,6.49
Telangana,2020-02-29,6.74
Telangana,2020-03-31,6.1
Telangana,2020-04-30,10.5
Telangana,2020-05-31,36.57
Telangana,2020-06-30,6.92
Tripura,2019-05-31,34.69
Tripura,2019-06-30,25.59
Tripura,2019-07-31,25.81
Tripura,2019-08-31,33.45
Tripura,2019-09-30,33.57
Tripura,2019-10-31,26.67
Tripura,2019-11-30,27.15
Tripura,2019-12-31,33.48
Tripura,2020-01-31,34.37
Tripura,2020-02-29,33.88
Tripura,2020-03-31,25.69
Tripura,2020-04-30,34.88
Tripura,2020-05-31,16.78
Tripura,2020-06-30,27.47
Uttar Pradesh,2019-05-31,14.4
Uttar Pradesh,2019-06-30,11.62
Uttar Pradesh,2019-07-31,11.8
Uttar Pradesh,2019-08-31,14.73
Uttar Pradesh,2019-09-30,13.58
Uttar Pradesh,2019-10-31,10.35
Uttar Pradesh,2019-11-30,11.31
Uttar Pradesh,2019-12-31,12.37
Uttar Pradesh,2020-01-31,12.34
Uttar Pradesh,2020-02-29,11.65
Uttar Pradesh,2020-03-31,12.32
Uttar Pradesh,2020-04-30,26.94
Uttar Pradesh,2020-05-31,32.06
Uttar Pradesh,2020-06-30,13.05
Uttarakhand,2019-05-31,9.17
Uttarakhand,2019-06-30,4.69
Uttarakhand,2019-07-31,6.94
Uttarakhand,2019-08-31,7.43
Uttarakhand,2019-09-30,9.62
Uttarakhand,2019-10-31,4.72
Uttarakhand,2019-11-30,6.34
Uttarakhand,2019-12-31,7.39
Uttarakhand,2020-01-31,8.92
Uttarakhand,2020-02-29,5.28
Uttarakhand,2020-03-31,8.15
Uttarakhand,2020-04-30,13.18
Uttarakhand,2020-05-31,17.36
Uttarakhand,2020-06-30,5.08
West Bengal,2019-05-31,7.25
West Bengal,2019-06-30,7.38
West Bengal,2019-07-31,7.91
West Bengal,2019-08-31,7.27
West Bengal,2019-09-30,7.79
West Bengal,2019-10-31,7.83
West Bengal,2019-11-30,6.61
West Bengal,2019-12-31,7.24
West Bengal,2020-01-31,7.27
West Bengal,2020-02-29,7.55
West Bengal,2020-03-31,6.67
West Bengal,2020-04-30,15.63
West Bengal,2020-05-31,15.22
West Bengal,2020-06-30,9.86
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Andhra Pradesh,2020-01-31,5.48
Andhra Pradesh,2020-02-29,5.83
Andhra Pradesh,2020-03-31,5.79
Andhra Pradesh,2020-04-30,20.51
Andhra Pradesh,2020-05-31,17.43
Andhra Pradesh,2020-06-30,3.31
Andhra Pradesh,2020-07-31,8.34
Andhra Pradesh,2020-08-31,6.96
Andhra Pradesh,2020-09-30,6.4
Andhra Pradesh,2020-10-31,6.59
Assam,2020-01-31,4.66
Assam,2020-02-29,4.41
Assam,2020-03-31,4.77
Assam,2020-04-30,11.06
Assam,2020-05-31,9.55
Assam,2020-06-30,0.6
Assam,2020-07-31,3.77
Assam,2020-08-31,5.53
Assam,2020-09-30,1.19
Assam,2020-10-31,3.02
Bihar,2020-01-31,10.61
Bihar,2020-02-29,10.29
Bihar,2020-03-31,15.43
Bihar,2020-04-30,46.64
Bihar,2020-05-31,45.96
Bihar,2020-06-30,17.82
Bihar,2020-07-31,12.79
Bihar,2020-08-31,13.44
Bihar,2020-09-30,11.91
Bihar,2020-10-31,9.82
Chhattisgarh,2020-01-31,9.65
Chhattisgarh,2020-02-29,8.38
Chhattisgarh,2020-03-31,7.54
Chhattisgarh,2020-04-30,3.41
Chhattisgarh,2020-05-31,10.5
Chhattisgarh,2020-06-30,14.23
